Number bit;State;Metric
0;0;-0.430
0;1;0.430
0;2;-1000000000000000019884624838656.000
0;3;-1000000000000000019884624838656.000
0;4;-1000000000000000019884624838656.000
0;5;-1000000000000000019884624838656.000
0;6;-1000000000000000019884624838656.000
0;7;-1000000000000000019884624838656.000
0;8;-1000000000000000019884624838656.000
0;9;-1000000000000000019884624838656.000
0;10;-1000000000000000019884624838656.000
0;11;-1000000000000000019884624838656.000
0;12;-1000000000000000019884624838656.000
0;13;-1000000000000000019884624838656.000
0;14;-1000000000000000019884624838656.000
0;15;-1000000000000000019884624838656.000
1;0;-0.323
1;1;-0.537
1;2;0.537
1;3;0.323
1;4;-1000000000000000019884624838656.000
1;5;-1000000000000000019884624838656.000
1;6;-1000000000000000019884624838656.000
1;7;-1000000000000000019884624838656.000
1;8;-1000000000000000019884624838656.000
1;9;-1000000000000000019884624838656.000
1;10;-1000000000000000019884624838656.000
1;11;-1000000000000000019884624838656.000
1;12;-1000000000000000019884624838656.000
1;13;-1000000000000000019884624838656.000
1;14;-1000000000000000019884624838656.000
1;15;-1000000000000000019884624838656.000
2;0;-0.134
2;1;-0.511
2;2;-0.348
2;3;-0.726
2;4;0.612
2;5;0.462
2;6;0.398
2;7;0.247
2;8;-1000000000000000019884624838656.000
2;9;-1000000000000000019884624838656.000
2;10;-1000000000000000019884624838656.000
2;11;-1000000000000000019884624838656.000
2;12;-1000000000000000019884624838656.000
2;13;-1000000000000000019884624838656.000
2;14;-1000000000000000019884624838656.000
2;15;-1000000000000000019884624838656.000
3;0;-1.653
3;1;1.386
3;2;-2.031
3;3;1.008
3;4;-1.981
3;5;1.285
3;6;-2.359
3;7;0.907
3;8;-0.907
3;9;2.132
3;10;-1.058
3;11;1.981
3;12;-1.235
3;13;2.031
3;14;-1.386
3;15;1.880
4;0;-1.400
4;1;-0.414
4;2;1.639
4;3;2.625
4;4;-1.664
4;5;-0.451
4;6;1.375
4;7;2.587
4;8;-1.728
4;9;-0.742
4;10;1.538
4;11;2.524
4;12;-1.992
4;13;-0.779
4;14;1.274
4;15;2.486
5;0;-0.283
5;1;-2.517
5;2;0.703
5;3;-1.531
5;4;2.642
5;5;0.636
5;6;3.628
5;7;1.621
5;8;-0.547
5;9;-2.781
5;10;0.665
5;11;-1.568
5;12;2.378
5;13;0.372
5;14;3.591
5;15;1.584
6;0;0.013
6;1;-0.579
6;2;-2.221
6;3;-2.812
6;4;0.885
6;5;0.520
6;6;-1.349
6;7;-1.713
6;8;2.938
6;9;2.346
6;10;0.932
6;11;0.340
6;12;3.810
6;13;3.446
6;14;1.804
6;15;1.439
7;0;2.440
7;1;3.437
7;2;1.848
7;3;2.845
7;4;0.320
7;5;1.544
7;6;-0.272
7;7;0.952
7;8;3.312
7;9;4.309
7;10;2.947
7;11;3.944
7;12;1.192
7;13;2.416
7;14;0.827
7;15;2.051
144;0;119.389
144;1;117.287
144;2;118.767
144;3;116.664
144;4;118.507
144;5;116.631
144;6;117.884
144;7;116.009
144;8;120.175
144;9;118.073
144;10;119.779
144;11;117.677
144;12;119.292
144;13;117.417
144;14;118.897
144;15;117.022
145;0;121.842
145;1;118.508
145;2;119.740
145;3;116.405
145;4;121.333
145;5;118.226
145;6;119.231
145;7;116.124
145;8;120.960
145;9;117.625
145;10;119.084
145;11;115.750
145;12;120.451
145;13;117.343
145;14;118.576
145;15;115.468
146;0;122.440
146;1;121.244
146;2;119.105
146;3;117.910
146;4;120.224
146;5;119.256
146;6;116.890
146;7;115.921
146;8;121.931
146;9;120.735
146;10;118.823
146;11;117.628
146;12;119.715
146;13;118.747
146;14;116.608
146;15;115.639
147;0;122.926
147;1;121.953
147;2;121.731
147;3;120.758
147;4;119.478
147;5;118.732
147;6;118.283
147;7;117.537
147;8;120.711
147;9;119.738
147;10;119.742
147;11;118.769
147;12;117.263
147;13;116.517
147;14;116.294
147;15;115.548
