Number bit;State;Metric
0;0;-0.487
0;1;0.487
0;2;-1000000000000000019884624838656.000
0;3;-1000000000000000019884624838656.000
0;4;-1000000000000000019884624838656.000
0;5;-1000000000000000019884624838656.000
0;6;-1000000000000000019884624838656.000
0;7;-1000000000000000019884624838656.000
0;8;-1000000000000000019884624838656.000
0;9;-1000000000000000019884624838656.000
0;10;-1000000000000000019884624838656.000
0;11;-1000000000000000019884624838656.000
0;12;-1000000000000000019884624838656.000
0;13;-1000000000000000019884624838656.000
0;14;-1000000000000000019884624838656.000
0;15;-1000000000000000019884624838656.000
1;0;-0.436
1;1;-0.537
1;2;0.537
1;3;0.436
1;4;-1000000000000000019884624838656.000
1;5;-1000000000000000019884624838656.000
1;6;-1000000000000000019884624838656.000
1;7;-1000000000000000019884624838656.000
1;8;-1000000000000000019884624838656.000
1;9;-1000000000000000019884624838656.000
1;10;-1000000000000000019884624838656.000
1;11;-1000000000000000019884624838656.000
1;12;-1000000000000000019884624838656.000
1;13;-1000000000000000019884624838656.000
1;14;-1000000000000000019884624838656.000
1;15;-1000000000000000019884624838656.000
2;0;-0.304
2;1;-0.568
2;2;-0.405
2;3;-0.669
2;4;0.669
2;5;0.405
2;6;0.568
2;7;0.304
2;8;-1000000000000000019884624838656.000
2;9;-1000000000000000019884624838656.000
2;10;-1000000000000000019884624838656.000
2;11;-1000000000000000019884624838656.000
2;12;-1000000000000000019884624838656.000
2;13;-1000000000000000019884624838656.000
2;14;-1000000000000000019884624838656.000
2;15;-1000000000000000019884624838656.000
3;0;-1.880
3;1;1.272
3;2;-2.144
3;3;1.008
3;4;-1.981
3;5;1.171
3;6;-2.245
3;7;0.907
3;8;-0.907
3;9;2.245
3;10;-1.171
3;11;1.981
3;12;-1.008
3;13;2.144
3;14;-1.272
3;15;1.880
4;0;-1.457
4;1;-0.357
4;2;1.696
4;3;2.795
4;4;-1.721
4;5;-0.622
4;6;1.432
4;7;2.531
4;8;-1.558
4;9;-0.458
4;10;1.595
4;11;2.694
4;12;-1.822
4;13;-0.723
4;14;1.331
4;15;2.430
5;0;-0.397
5;1;-2.517
5;2;0.703
5;3;-1.418
5;4;2.756
5;5;0.636
5;6;3.855
5;7;1.735
5;8;-0.661
5;9;-2.781
5;10;0.438
5;11;-1.682
5;12;2.492
5;13;0.372
5;14;3.591
5;15;1.471
6;0;-0.157
6;1;-0.636
6;2;-2.277
6;3;-2.756
6;4;0.942
6;5;0.463
6;6;-1.178
6;7;-1.657
6;8;2.995
6;9;2.517
6;10;0.875
6;11;0.397
6;12;4.094
6;13;3.616
6;14;1.974
6;15;1.496
7;0;2.440
7;1;3.550
7;2;1.962
7;3;3.072
7;4;0.320
7;5;1.430
7;6;-0.158
7;7;0.952
7;8;3.539
7;9;4.649
7;10;3.061
7;11;4.171
7;12;1.419
7;13;2.529
7;14;0.941
7;15;2.051
144;0;118.154
144;1;116.165
144;2;117.645
144;3;115.656
144;4;117.271
144;5;115.283
144;6;116.763
144;7;114.774
144;8;119.167
144;9;117.178
144;10;118.658
144;11;116.669
144;12;118.284
144;13;116.296
144;14;117.775
144;15;115.787
145;0;120.777
145;1;117.556
145;2;118.789
145;3;115.568
145;4;120.268
145;5;117.047
145;6;118.280
145;7;115.059
145;8;119.895
145;9;116.674
145;10;117.906
145;11;114.685
145;12;119.386
145;13;116.165
145;14;117.397
145;15;114.176
146;0;121.318
146;1;120.236
146;2;118.097
146;3;117.015
146;4;119.330
146;5;118.247
146;6;116.109
146;7;115.027
146;8;120.809
146;9;119.727
146;10;117.588
146;11;116.506
146;12;118.821
146;13;117.739
146;14;115.600
146;15;114.518
147;0;121.748
147;1;120.888
147;2;120.666
147;3;119.806
147;4;118.527
147;5;117.668
147;6;117.445
147;7;116.585
147;8;119.759
147;9;118.900
147;10;118.677
147;11;117.818
147;12;116.538
147;13;115.679
147;14;115.456
147;15;114.597
