Number bit;State;Metric
0;0;1.421
0;1;-1.421
0;2;-1000000000000000019884624838656.000
0;3;-1000000000000000019884624838656.000
0;4;-1000000000000000019884624838656.000
0;5;-1000000000000000019884624838656.000
0;6;-1000000000000000019884624838656.000
0;7;-1000000000000000019884624838656.000
0;8;-1000000000000000019884624838656.000
0;9;-1000000000000000019884624838656.000
0;10;-1000000000000000019884624838656.000
0;11;-1000000000000000019884624838656.000
0;12;-1000000000000000019884624838656.000
0;13;-1000000000000000019884624838656.000
0;14;-1000000000000000019884624838656.000
0;15;-1000000000000000019884624838656.000
1;0;2.540
1;1;0.302
1;2;-0.302
1;3;-2.540
1;4;-1000000000000000019884624838656.000
1;5;-1000000000000000019884624838656.000
1;6;-1000000000000000019884624838656.000
1;7;-1000000000000000019884624838656.000
1;8;-1000000000000000019884624838656.000
1;9;-1000000000000000019884624838656.000
1;10;-1000000000000000019884624838656.000
1;11;-1000000000000000019884624838656.000
1;12;-1000000000000000019884624838656.000
1;13;-1000000000000000019884624838656.000
1;14;-1000000000000000019884624838656.000
1;15;-1000000000000000019884624838656.000
2;0;3.683
2;1;1.397
2;2;1.445
2;3;-0.841
2;4;0.728
2;5;-1.331
2;6;-1.510
2;7;-3.570
2;8;-1000000000000000019884624838656.000
2;9;-1000000000000000019884624838656.000
2;10;-1000000000000000019884624838656.000
2;11;-1000000000000000019884624838656.000
2;12;-1000000000000000019884624838656.000
2;13;-1000000000000000019884624838656.000
2;14;-1000000000000000019884624838656.000
2;15;-1000000000000000019884624838656.000
3;0;1.567
3;1;5.799
3;2;-0.719
3;3;3.513
3;4;-0.785
3;5;3.674
3;6;-3.071
3;7;1.388
3;8;-1.388
3;9;2.844
3;10;-3.447
3;11;0.785
3;12;-3.740
3;13;0.719
3;14;-5.799
3;15;-1.340
4;0;2.538
4;1;0.596
4;2;6.770
4;3;4.828
4;4;0.139
4;5;-1.577
4;6;4.371
4;7;2.655
4;8;0.186
4;9;-1.756
4;10;4.645
4;11;2.703
4;12;-2.213
4;13;-3.928
4;14;2.246
4;15;0.531
5;0;3.800
5;1;1.276
5;2;1.858
5;3;-0.666
5;4;7.918
5;5;5.622
5;6;5.976
5;7;3.680
5;8;1.400
5;9;-1.123
5;10;-0.315
5;11;-2.838
5;12;5.519
5;13;3.222
5;14;3.804
5;15;1.507
6;0;5.497
6;1;2.103
6;2;2.974
6;3;-0.421
6;4;3.442
6;5;0.274
6;6;0.918
6;7;-2.249
6;8;9.616
6;9;6.221
6;10;7.319
6;11;3.925
6;12;7.560
6;13;4.393
6;14;5.264
6;15;2.096
7;0;8.475
7;1;10.756
7;2;5.081
7;3;7.362
7;4;6.065
7;5;8.573
7;6;2.671
7;7;5.179
7;8;6.420
7;9;8.700
7;10;3.252
7;11;5.533
7;12;4.010
7;13;6.517
7;14;0.842
7;15;3.350
144;0;191.364
144;1;187.939
144;2;190.377
144;3;186.952
144;4;194.860
144;5;191.662
144;6;193.873
144;7;190.675
144;8;187.727
144;9;184.302
144;10;186.967
144;11;183.542
144;12;191.223
144;13;188.025
144;14;190.463
144;15;187.265
145;0;192.562
145;1;190.166
145;2;189.137
145;3;186.741
145;4;191.462
145;5;189.293
145;6;188.037
145;7;185.867
145;8;196.058
145;9;193.662
145;10;192.860
145;11;190.464
145;12;194.958
145;13;192.789
145;14;191.759
145;15;189.590
146;0;198.205
146;1;193.912
146;2;195.809
146;3;191.516
146;4;194.893
146;5;190.827
146;6;192.497
146;7;188.431
146;8;197.104
146;9;192.811
146;10;194.935
146;11;190.642
146;12;193.793
146;13;189.726
146;14;191.623
146;15;187.557
147;0;199.941
147;1;196.469
147;2;195.648
147;3;192.175
147;4;197.432
147;5;194.186
147;6;193.138
147;7;189.893
147;8;196.629
147;9;193.157
147;10;192.563
147;11;189.090
147;12;194.120
147;13;190.874
147;14;190.054
147;15;186.808
