Number bit;State;Metric
0;0;0.538
0;1;-0.538
0;2;-1000000000000000019884624838656.000
0;3;-1000000000000000019884624838656.000
0;4;-1000000000000000019884624838656.000
0;5;-1000000000000000019884624838656.000
0;6;-1000000000000000019884624838656.000
0;7;-1000000000000000019884624838656.000
0;8;-1000000000000000019884624838656.000
0;9;-1000000000000000019884624838656.000
0;10;-1000000000000000019884624838656.000
0;11;-1000000000000000019884624838656.000
0;12;-1000000000000000019884624838656.000
0;13;-1000000000000000019884624838656.000
0;14;-1000000000000000019884624838656.000
0;15;-1000000000000000019884624838656.000
1;0;1.675
1;1;-0.599
1;2;0.599
1;3;-1.675
1;4;-1000000000000000019884624838656.000
1;5;-1000000000000000019884624838656.000
1;6;-1000000000000000019884624838656.000
1;7;-1000000000000000019884624838656.000
1;8;-1000000000000000019884624838656.000
1;9;-1000000000000000019884624838656.000
1;10;-1000000000000000019884624838656.000
1;11;-1000000000000000019884624838656.000
1;12;-1000000000000000019884624838656.000
1;13;-1000000000000000019884624838656.000
1;14;-1000000000000000019884624838656.000
1;15;-1000000000000000019884624838656.000
2;0;2.785
2;1;0.564
2;2;0.512
2;3;-1.709
2;4;1.709
2;5;-0.512
2;6;-0.564
2;7;-2.785
2;8;-1000000000000000019884624838656.000
2;9;-1000000000000000019884624838656.000
2;10;-1000000000000000019884624838656.000
2;11;-1000000000000000019884624838656.000
2;12;-1000000000000000019884624838656.000
2;13;-1000000000000000019884624838656.000
2;14;-1000000000000000019884624838656.000
2;15;-1000000000000000019884624838656.000
3;0;2.261
3;1;3.309
3;2;0.041
3;3;1.088
3;4;-0.012
3;5;1.035
3;6;-2.232
3;7;-1.185
3;8;1.185
3;9;2.232
3;10;-1.035
3;11;0.012
3;12;-1.088
3;13;-0.041
3;14;-3.309
3;15;-2.261
4;0;1.992
4;1;2.531
4;2;3.039
4;3;3.578
4;4;-0.228
4;5;0.310
4;6;0.819
4;7;1.357
4;8;-0.281
4;9;0.257
4;10;0.766
4;11;1.305
4;12;-2.502
4;13;-1.963
4;14;-1.454
4;15;-0.916
5;0;2.481
5;1;1.503
5;2;3.020
5;3;2.041
5;4;3.529
5;5;2.550
5;6;4.067
5;7;3.088
5;8;0.261
5;9;-0.718
5;10;0.800
5;11;-0.179
5;12;1.308
5;13;0.329
5;14;1.847
5;15;0.868
6;0;4.338
6;1;0.625
6;2;3.359
6;3;-0.354
6;4;4.877
6;5;1.163
6;6;3.898
6;7;0.184
6;8;5.385
6;9;1.672
6;10;4.407
6;11;0.693
6;12;5.924
6;13;2.211
6;14;4.945
6;15;1.232
7;0;5.651
7;1;5.120
7;2;1.938
7;3;1.406
7;4;4.672
7;5;4.141
7;6;0.959
7;7;0.427
7;8;6.190
7;9;5.658
7;10;2.476
7;11;1.945
7;12;5.211
7;13;4.679
7;14;1.497
7;15;0.966
144;0;104.017
144;1;102.337
144;2;103.841
144;3;102.161
144;4;100.619
144;5;98.939
144;6;100.443
144;7;98.763
144;8;100.074
144;9;98.393
144;10;99.898
144;11;98.217
144;12;96.676
144;13;94.995
144;14;96.500
144;15;94.819
145;0;104.153
145;1;103.881
145;2;102.472
145;3;102.201
145;4;103.977
145;5;103.705
145;6;102.296
145;7;102.025
145;8;100.755
145;9;100.484
145;10;99.075
145;11;98.803
145;12;100.579
145;13;100.308
145;14;98.899
145;15;98.627
146;0;105.035
146;1;103.271
146;2;104.764
146;3;102.999
146;4;103.355
146;5;101.590
146;6;103.083
146;7;101.318
146;8;104.859
146;9;103.095
146;10;104.588
146;11;102.823
146;12;103.179
146;13;101.414
146;14;102.907
146;15;101.142
147;0;105.843
147;1;104.228
147;2;104.079
147;3;102.463
147;4;105.571
147;5;103.956
147;6;103.807
147;7;102.191
147;8;104.162
147;9;102.547
147;10;102.398
147;11;100.782
147;12;103.891
147;13;102.275
147;14;102.126
147;15;100.511
