Number bit;State;Metric
0;0;0.057
0;1;-0.057
0;2;-1000000000000000019884624838656.000
0;3;-1000000000000000019884624838656.000
0;4;-1000000000000000019884624838656.000
0;5;-1000000000000000019884624838656.000
0;6;-1000000000000000019884624838656.000
0;7;-1000000000000000019884624838656.000
0;8;-1000000000000000019884624838656.000
0;9;-1000000000000000019884624838656.000
0;10;-1000000000000000019884624838656.000
0;11;-1000000000000000019884624838656.000
0;12;-1000000000000000019884624838656.000
0;13;-1000000000000000019884624838656.000
0;14;-1000000000000000019884624838656.000
0;15;-1000000000000000019884624838656.000
1;0;0.113
1;1;-0.000
1;2;0.000
1;3;-0.113
1;4;-1000000000000000019884624838656.000
1;5;-1000000000000000019884624838656.000
1;6;-1000000000000000019884624838656.000
1;7;-1000000000000000019884624838656.000
1;8;-1000000000000000019884624838656.000
1;9;-1000000000000000019884624838656.000
1;10;-1000000000000000019884624838656.000
1;11;-1000000000000000019884624838656.000
1;12;-1000000000000000019884624838656.000
1;13;-1000000000000000019884624838656.000
1;14;-1000000000000000019884624838656.000
1;15;-1000000000000000019884624838656.000
2;0;0.170
2;1;0.057
2;2;0.057
2;3;-0.057
2;4;-0.057
2;5;0.057
2;6;-0.170
2;7;-0.057
2;8;-1000000000000000019884624838656.000
2;9;-1000000000000000019884624838656.000
2;10;-1000000000000000019884624838656.000
2;11;-1000000000000000019884624838656.000
2;12;-1000000000000000019884624838656.000
2;13;-1000000000000000019884624838656.000
2;14;-1000000000000000019884624838656.000
2;15;-1000000000000000019884624838656.000
3;0;0.227
3;1;0.113
3;2;0.113
3;3;0.000
3;4;-0.000
3;5;0.113
3;6;-0.113
3;7;0.000
3;8;-0.000
3;9;-0.113
3;10;0.113
3;11;0.000
3;12;-0.227
3;13;-0.113
3;14;-0.113
3;15;0.000
4;0;0.284
4;1;0.170
4;2;0.170
4;3;0.057
4;4;0.057
4;5;0.170
4;6;-0.057
4;7;0.057
4;8;0.057
4;9;-0.057
4;10;0.170
4;11;0.057
4;12;-0.170
4;13;-0.057
4;14;-0.057
4;15;0.057
5;0;0.340
5;1;0.227
5;2;0.227
5;3;0.113
5;4;0.113
5;5;0.227
5;6;0.000
5;7;0.113
5;8;0.113
5;9;0.000
5;10;0.227
5;11;0.113
5;12;-0.113
5;13;0.000
5;14;0.000
5;15;0.113
6;0;0.397
6;1;0.284
6;2;0.284
6;3;0.170
6;4;0.170
6;5;0.284
6;6;0.057
6;7;0.170
6;8;0.170
6;9;0.057
6;10;0.284
6;11;0.170
6;12;-0.057
6;13;0.057
6;14;0.057
6;15;0.170
7;0;0.454
7;1;0.340
7;2;0.340
7;3;0.227
7;4;0.227
7;5;0.340
7;6;0.113
7;7;0.227
7;8;0.227
7;9;0.113
7;10;0.340
7;11;0.227
7;12;0.000
7;13;0.113
7;14;0.113
7;15;0.227
144;0;8.228
144;1;8.115
144;2;8.115
144;3;8.001
144;4;8.001
144;5;8.115
144;6;7.888
144;7;8.001
144;8;8.001
144;9;7.888
144;10;8.115
144;11;8.001
144;12;7.774
144;13;7.888
144;14;7.888
144;15;8.001
145;0;8.285
145;1;8.171
145;2;8.171
145;3;8.058
145;4;8.058
145;5;8.171
145;6;7.944
145;7;8.058
145;8;8.058
145;9;7.944
145;10;8.171
145;11;8.058
145;12;7.831
145;13;7.944
145;14;7.944
145;15;8.058
146;0;8.342
146;1;8.228
146;2;8.228
146;3;8.115
146;4;8.115
146;5;8.228
146;6;8.001
146;7;8.115
146;8;8.115
146;9;8.001
146;10;8.228
146;11;8.115
146;12;7.888
146;13;8.001
146;14;8.001
146;15;8.115
147;0;8.398
147;1;8.285
147;2;8.285
147;3;8.171
147;4;8.171
147;5;8.285
147;6;8.058
147;7;8.171
147;8;8.171
147;9;8.058
147;10;8.285
147;11;8.171
147;12;7.944
147;13;8.058
147;14;8.058
147;15;8.171
