Number bit;State;Metric
0;0;0.000
0;1;-0.000
0;2;-1000000000000000019884624838656.000
0;3;-1000000000000000019884624838656.000
0;4;-1000000000000000019884624838656.000
0;5;-1000000000000000019884624838656.000
0;6;-1000000000000000019884624838656.000
0;7;-1000000000000000019884624838656.000
0;8;-1000000000000000019884624838656.000
0;9;-1000000000000000019884624838656.000
0;10;-1000000000000000019884624838656.000
0;11;-1000000000000000019884624838656.000
0;12;-1000000000000000019884624838656.000
0;13;-1000000000000000019884624838656.000
0;14;-1000000000000000019884624838656.000
0;15;-1000000000000000019884624838656.000
1;0;0.000
1;1;-0.000
1;2;0.000
1;3;-0.000
1;4;-1000000000000000019884624838656.000
1;5;-1000000000000000019884624838656.000
1;6;-1000000000000000019884624838656.000
1;7;-1000000000000000019884624838656.000
1;8;-1000000000000000019884624838656.000
1;9;-1000000000000000019884624838656.000
1;10;-1000000000000000019884624838656.000
1;11;-1000000000000000019884624838656.000
1;12;-1000000000000000019884624838656.000
1;13;-1000000000000000019884624838656.000
1;14;-1000000000000000019884624838656.000
1;15;-1000000000000000019884624838656.000
2;0;0.000
2;1;0.000
2;2;0.000
2;3;-0.000
2;4;0.000
2;5;-0.000
2;6;-0.000
2;7;-0.000
2;8;-1000000000000000019884624838656.000
2;9;-1000000000000000019884624838656.000
2;10;-1000000000000000019884624838656.000
2;11;-1000000000000000019884624838656.000
2;12;-1000000000000000019884624838656.000
2;13;-1000000000000000019884624838656.000
2;14;-1000000000000000019884624838656.000
2;15;-1000000000000000019884624838656.000
3;0;0.000
3;1;0.000
3;2;-0.000
3;3;0.000
3;4;-0.000
3;5;0.000
3;6;-0.000
3;7;0.000
3;8;-0.000
3;9;0.000
3;10;-0.000
3;11;0.000
3;12;-0.000
3;13;0.000
3;14;-0.000
3;15;-0.000
4;0;0.000
4;1;0.000
4;2;0.000
4;3;0.000
4;4;0.000
4;5;-0.000
4;6;0.000
4;7;0.000
4;8;0.000
4;9;-0.000
4;10;0.000
4;11;0.000
4;12;-0.000
4;13;-0.000
4;14;0.000
4;15;-0.000
5;0;0.000
5;1;0.000
5;2;-0.000
5;3;0.000
5;4;0.000
5;5;0.000
5;6;0.000
5;7;0.000
5;8;-0.000
5;9;0.000
5;10;-0.000
5;11;-0.000
5;12;0.000
5;13;0.000
5;14;0.000
5;15;0.000
6;0;0.000
6;1;0.000
6;2;0.000
6;3;0.000
6;4;0.000
6;5;-0.000
6;6;0.000
6;7;0.000
6;8;0.000
6;9;0.000
6;10;0.000
6;11;0.000
6;12;0.000
6;13;0.000
6;14;0.000
6;15;0.000
7;0;0.000
7;1;0.000
7;2;0.000
7;3;0.000
7;4;0.000
7;5;0.000
7;6;0.000
7;7;0.000
7;8;0.000
7;9;0.000
7;10;0.000
7;11;0.000
7;12;0.000
7;13;0.000
7;14;0.000
7;15;0.000
144;0;0.000
144;1;0.000
144;2;0.000
144;3;0.000
144;4;0.000
144;5;0.000
144;6;0.000
144;7;0.000
144;8;0.000
144;9;0.000
144;10;0.000
144;11;0.000
144;12;0.000
144;13;0.000
144;14;0.000
144;15;0.000
145;0;0.000
145;1;0.000
145;2;0.000
145;3;0.000
145;4;0.000
145;5;0.000
145;6;0.000
145;7;0.000
145;8;0.000
145;9;0.000
145;10;0.000
145;11;0.000
145;12;0.000
145;13;0.000
145;14;0.000
145;15;0.000
146;0;0.000
146;1;0.000
146;2;0.000
146;3;0.000
146;4;0.000
146;5;0.000
146;6;0.000
146;7;0.000
146;8;0.000
146;9;0.000
146;10;0.000
146;11;0.000
146;12;0.000
146;13;0.000
146;14;0.000
146;15;0.000
147;0;0.000
147;1;0.000
147;2;0.000
147;3;0.000
147;4;0.000
147;5;0.000
147;6;0.000
147;7;0.000
147;8;0.000
147;9;0.000
147;10;0.000
147;11;0.000
147;12;0.000
147;13;0.000
147;14;0.000
147;15;0.000
