Number bit;State;Metric
0;0;2.014
0;1;-2.014
0;2;-1000000000000000019884624838656.000
0;3;-1000000000000000019884624838656.000
0;4;-1000000000000000019884624838656.000
0;5;-1000000000000000019884624838656.000
0;6;-1000000000000000019884624838656.000
0;7;-1000000000000000019884624838656.000
0;8;-1000000000000000019884624838656.000
0;9;-1000000000000000019884624838656.000
0;10;-1000000000000000019884624838656.000
0;11;-1000000000000000019884624838656.000
0;12;-1000000000000000019884624838656.000
0;13;-1000000000000000019884624838656.000
0;14;-1000000000000000019884624838656.000
0;15;-1000000000000000019884624838656.000
1;0;3.955
1;1;0.072
1;2;-0.072
1;3;-3.955
1;4;-1000000000000000019884624838656.000
1;5;-1000000000000000019884624838656.000
1;6;-1000000000000000019884624838656.000
1;7;-1000000000000000019884624838656.000
1;8;-1000000000000000019884624838656.000
1;9;-1000000000000000019884624838656.000
1;10;-1000000000000000019884624838656.000
1;11;-1000000000000000019884624838656.000
1;12;-1000000000000000019884624838656.000
1;13;-1000000000000000019884624838656.000
1;14;-1000000000000000019884624838656.000
1;15;-1000000000000000019884624838656.000
2;0;5.899
2;1;2.012
2;2;2.015
2;3;-1.872
2;4;1.758
2;5;-1.902
2;6;-2.126
2;7;-5.785
2;8;-1000000000000000019884624838656.000
2;9;-1000000000000000019884624838656.000
2;10;-1000000000000000019884624838656.000
2;11;-1000000000000000019884624838656.000
2;12;-1000000000000000019884624838656.000
2;13;-1000000000000000019884624838656.000
2;14;-1000000000000000019884624838656.000
2;15;-1000000000000000019884624838656.000
3;0;8.065
3;1;3.733
3;2;4.178
3;3;-0.154
3;4;4.067
3;5;-0.037
3;6;0.181
3;7;-3.924
3;8;3.924
3;9;-0.408
3;10;0.264
3;11;-4.067
3;12;-0.073
3;13;-4.178
3;14;-3.733
3;15;-7.838
4;0;9.769
4;1;6.360
4;2;5.438
4;3;2.028
4;4;5.769
4;5;2.587
4;6;1.437
4;7;-1.745
4;8;5.772
4;9;2.363
4;10;1.667
4;11;-1.742
4;12;1.772
4;13;-1.410
4;14;-2.333
4;15;-5.515
5;0;7.715
5;1;11.824
5;2;4.306
5;3;8.414
5;4;3.270
5;5;7.605
5;6;-0.139
5;7;4.196
5;8;3.715
5;9;7.823
5;10;0.533
5;11;4.641
5;12;-0.730
5;13;3.605
5;14;-3.913
5;15;0.423
6;0;9.659
6;1;5.772
6;2;13.767
6;3;9.880
6;4;6.136
6;5;2.476
6;6;10.244
6;7;6.584
6;8;5.213
6;9;1.327
6;10;9.549
6;11;5.662
6;12;1.690
6;13;-1.969
6;14;6.026
6;15;2.366
7;0;7.832
7;1;11.485
7;2;3.946
7;3;7.598
7;4;11.827
7;5;15.707
7;6;7.941
7;7;11.820
7;8;4.309
7;9;7.962
7;10;0.650
7;11;4.302
7;12;8.304
7;13;12.184
7;14;4.645
7;15;8.524
144;0;281.863
144;1;277.528
144;2;278.454
144;3;274.118
144;4;286.081
144;5;281.973
144;6;282.672
144;7;278.564
144;8;277.863
144;9;273.528
144;10;274.681
144;11;270.345
144;12;282.081
144;13;277.973
144;14;278.899
144;15;274.790
145;0;283.808
145;1;279.918
145;2;279.473
145;3;275.582
145;4;280.285
145;5;276.622
145;6;275.950
145;7;272.287
145;8;288.027
145;9;284.136
145;10;283.918
145;11;280.028
145;12;284.504
145;13;280.840
145;14;280.395
145;15;276.732
146;0;290.076
146;1;285.977
146;2;286.185
146;3;282.087
146;4;285.854
146;5;281.982
146;6;281.964
146;7;278.092
146;8;286.553
146;9;282.454
146;10;282.890
146;11;278.791
146;12;282.331
146;13;278.460
146;14;278.668
146;15;274.796
147;0;291.256
147;1;288.896
147;2;287.157
147;3;284.798
147;4;287.252
147;5;285.119
147;6;283.153
147;7;281.021
147;8;287.034
147;9;284.674
147;10;283.162
147;11;280.803
147;12;283.030
147;13;280.897
147;14;279.158
147;15;277.026
