Number bit;State;Metric
0;0;1.957
0;1;-1.957
0;2;-1000000000000000019884624838656.000
0;3;-1000000000000000019884624838656.000
0;4;-1000000000000000019884624838656.000
0;5;-1000000000000000019884624838656.000
0;6;-1000000000000000019884624838656.000
0;7;-1000000000000000019884624838656.000
0;8;-1000000000000000019884624838656.000
0;9;-1000000000000000019884624838656.000
0;10;-1000000000000000019884624838656.000
0;11;-1000000000000000019884624838656.000
0;12;-1000000000000000019884624838656.000
0;13;-1000000000000000019884624838656.000
0;14;-1000000000000000019884624838656.000
0;15;-1000000000000000019884624838656.000
1;0;3.842
1;1;0.072
1;2;-0.072
1;3;-3.842
1;4;-1000000000000000019884624838656.000
1;5;-1000000000000000019884624838656.000
1;6;-1000000000000000019884624838656.000
1;7;-1000000000000000019884624838656.000
1;8;-1000000000000000019884624838656.000
1;9;-1000000000000000019884624838656.000
1;10;-1000000000000000019884624838656.000
1;11;-1000000000000000019884624838656.000
1;12;-1000000000000000019884624838656.000
1;13;-1000000000000000019884624838656.000
1;14;-1000000000000000019884624838656.000
1;15;-1000000000000000019884624838656.000
2;0;5.729
2;1;1.955
2;2;1.958
2;3;-1.815
2;4;1.815
2;5;-1.958
2;6;-1.955
2;7;-5.729
2;8;-1000000000000000019884624838656.000
2;9;-1000000000000000019884624838656.000
2;10;-1000000000000000019884624838656.000
2;11;-1000000000000000019884624838656.000
2;12;-1000000000000000019884624838656.000
2;13;-1000000000000000019884624838656.000
2;14;-1000000000000000019884624838656.000
2;15;-1000000000000000019884624838656.000
3;0;7.838
3;1;3.619
3;2;4.065
3;3;-0.154
3;4;4.067
3;5;-0.151
3;6;0.294
3;7;-3.924
3;8;3.924
3;9;-0.294
3;10;0.151
3;11;-4.067
3;12;0.154
3;13;-4.065
3;14;-3.619
3;15;-7.838
4;0;9.486
4;1;6.190
4;2;5.267
4;3;1.971
4;4;5.712
4;5;2.417
4;6;1.494
4;7;-1.802
4;8;5.715
4;9;2.420
4;10;1.497
4;11;-1.799
4;12;1.942
4;13;-1.354
4;14;-2.276
4;15;-5.572
5;0;7.375
5;1;11.597
5;2;4.079
5;3;8.301
5;4;3.156
5;5;7.378
5;6;-0.139
5;7;4.082
5;8;3.602
5;9;7.823
5;10;0.306
5;11;4.528
5;12;-0.617
5;13;3.605
5;14;-3.913
5;15;0.309
6;0;9.261
6;1;5.488
6;2;13.483
6;3;9.710
6;4;5.965
6;5;2.192
6;6;10.187
6;7;6.414
6;8;5.043
6;9;1.270
6;10;9.265
6;11;5.492
6;12;1.747
6;13;-2.026
6;14;5.969
6;15;2.196
7;0;7.378
7;1;11.144
7;2;3.605
7;3;7.371
7;4;11.600
7;5;15.366
7;6;7.827
7;7;11.593
7;8;4.083
7;9;7.848
7;10;0.309
7;11;4.075
7;12;8.304
7;13;12.070
7;14;4.531
7;15;8.297
144;0;278.402
144;1;274.180
144;2;275.106
144;3;270.884
144;4;282.620
144;5;278.398
144;6;279.324
144;7;275.102
144;8;274.628
144;9;270.407
144;10;271.333
144;11;267.111
144;12;278.847
144;13;274.625
144;14;275.551
144;15;271.329
145;0;280.290
145;1;276.513
145;2;276.068
145;3;272.291
145;4;276.994
145;5;273.217
145;6;272.772
145;7;268.995
145;8;284.508
145;9;280.731
145;10;280.286
145;11;276.510
145;12;281.212
145;13;277.436
145;14;276.991
145;15;273.214
146;0;286.501
146;1;282.516
146;2;282.724
146;3;278.739
146;4;282.279
146;5;278.294
146;6;278.502
146;7;274.517
146;8;283.205
146;9;279.220
146;10;279.428
146;11;275.443
146;12;278.983
146;13;274.998
146;14;275.206
146;15;271.221
147;0;287.624
147;1;285.378
147;2;283.639
147;3;281.393
147;4;283.847
147;5;281.601
147;6;279.862
147;7;277.616
147;8;283.402
147;9;281.156
147;10;279.417
147;11;277.171
147;12;279.625
147;13;277.379
147;14;275.640
147;15;273.394
