Number bit;State;Metric
0;0;1.057
0;1;-1.057
0;2;-1000000000000000019884624838656.000
0;3;-1000000000000000019884624838656.000
0;4;-1000000000000000019884624838656.000
0;5;-1000000000000000019884624838656.000
0;6;-1000000000000000019884624838656.000
0;7;-1000000000000000019884624838656.000
0;8;-1000000000000000019884624838656.000
0;9;-1000000000000000019884624838656.000
0;10;-1000000000000000019884624838656.000
0;11;-1000000000000000019884624838656.000
0;12;-1000000000000000019884624838656.000
0;13;-1000000000000000019884624838656.000
0;14;-1000000000000000019884624838656.000
0;15;-1000000000000000019884624838656.000
1;0;2.113
1;1;-0.000
1;2;0.000
1;3;-2.113
1;4;-1000000000000000019884624838656.000
1;5;-1000000000000000019884624838656.000
1;6;-1000000000000000019884624838656.000
1;7;-1000000000000000019884624838656.000
1;8;-1000000000000000019884624838656.000
1;9;-1000000000000000019884624838656.000
1;10;-1000000000000000019884624838656.000
1;11;-1000000000000000019884624838656.000
1;12;-1000000000000000019884624838656.000
1;13;-1000000000000000019884624838656.000
1;14;-1000000000000000019884624838656.000
1;15;-1000000000000000019884624838656.000
2;0;3.021
2;1;1.206
2;2;0.907
2;3;-0.907
2;4;0.794
2;5;-0.794
2;6;-1.320
2;7;-2.907
2;8;-1000000000000000019884624838656.000
2;9;-1000000000000000019884624838656.000
2;10;-1000000000000000019884624838656.000
2;11;-1000000000000000019884624838656.000
2;12;-1000000000000000019884624838656.000
2;13;-1000000000000000019884624838656.000
2;14;-1000000000000000019884624838656.000
2;15;-1000000000000000019884624838656.000
3;0;2.078
3;1;3.964
3;2;0.263
3;3;2.149
3;4;-0.149
3;5;1.964
3;6;-1.964
3;7;0.149
3;8;-0.149
3;9;1.737
3;10;-1.737
3;11;0.149
3;12;-2.376
3;13;-0.263
3;14;-3.964
3;15;-1.851
4;0;3.134
4;1;1.021
4;2;5.021
4;3;2.907
4;4;1.206
4;5;-0.680
4;6;3.093
4;7;1.206
4;8;0.907
4;9;-1.206
4;10;3.021
4;11;0.907
4;12;-1.021
4;13;-2.907
4;14;1.093
4;15;-0.794
5;0;2.191
5;1;4.078
5;2;0.078
5;3;1.964
5;4;3.964
5;5;6.078
5;6;1.851
5;7;3.964
5;8;0.263
5;9;2.149
5;10;-1.624
5;11;0.263
5;12;2.036
5;13;4.149
5;14;0.149
5;15;2.263
6;0;3.248
6;1;1.134
6;2;5.134
6;3;3.021
6;4;1.021
6;5;-0.866
6;6;2.907
6;7;1.021
6;8;5.021
6;9;2.907
6;10;7.134
6;11;5.021
6;12;2.794
6;13;0.907
6;14;4.907
6;15;3.021
7;0;4.078
7;1;5.964
7;2;1.964
7;3;3.851
7;4;6.078
7;5;8.191
7;6;3.964
7;7;6.078
7;8;1.851
7;9;3.737
7;10;-0.036
7;11;1.851
7;12;3.851
7;13;5.964
7;14;1.964
7;15;4.078
144;0;142.211
144;1;140.098
144;2;140.098
144;3;137.984
144;4;139.984
144;5;138.098
144;6;137.871
144;7;135.984
144;8;139.984
144;9;137.871
144;10;138.098
144;11;135.984
144;12;137.757
144;13;135.871
144;14;135.871
144;15;133.984
145;0;143.268
145;1;141.154
145;2;141.154
145;3;139.041
145;4;141.041
145;5;139.154
145;6;138.927
145;7;137.041
145;8;141.041
145;9;138.927
145;10;139.154
145;11;137.041
145;12;138.814
145;13;136.927
145;14;136.927
145;15;135.041
146;0;144.325
146;1;142.211
146;2;142.211
146;3;140.098
146;4;142.098
146;5;140.211
146;6;139.984
146;7;138.098
146;8;142.098
146;9;139.984
146;10;140.211
146;11;138.098
146;12;139.871
146;13;137.984
146;14;137.984
146;15;136.098
147;0;145.344
147;1;143.305
147;2;143.230
147;3;141.192
147;4;143.117
147;5;141.305
147;6;141.003
147;7;139.192
147;8;143.117
147;9;141.078
147;10;141.230
147;11;139.192
147;12;140.890
147;13;139.078
147;14;139.003
147;15;137.192
