Number bit;State;Metric
0;0;1.000
0;1;-1.000
0;2;-1000000000000000019884624838656.000
0;3;-1000000000000000019884624838656.000
0;4;-1000000000000000019884624838656.000
0;5;-1000000000000000019884624838656.000
0;6;-1000000000000000019884624838656.000
0;7;-1000000000000000019884624838656.000
0;8;-1000000000000000019884624838656.000
0;9;-1000000000000000019884624838656.000
0;10;-1000000000000000019884624838656.000
0;11;-1000000000000000019884624838656.000
0;12;-1000000000000000019884624838656.000
0;13;-1000000000000000019884624838656.000
0;14;-1000000000000000019884624838656.000
0;15;-1000000000000000019884624838656.000
1;0;2.000
1;1;-0.000
1;2;0.000
1;3;-2.000
1;4;-1000000000000000019884624838656.000
1;5;-1000000000000000019884624838656.000
1;6;-1000000000000000019884624838656.000
1;7;-1000000000000000019884624838656.000
1;8;-1000000000000000019884624838656.000
1;9;-1000000000000000019884624838656.000
1;10;-1000000000000000019884624838656.000
1;11;-1000000000000000019884624838656.000
1;12;-1000000000000000019884624838656.000
1;13;-1000000000000000019884624838656.000
1;14;-1000000000000000019884624838656.000
1;15;-1000000000000000019884624838656.000
2;0;2.851
2;1;1.149
2;2;0.851
2;3;-0.851
2;4;0.851
2;5;-0.851
2;6;-1.149
2;7;-2.851
2;8;-1000000000000000019884624838656.000
2;9;-1000000000000000019884624838656.000
2;10;-1000000000000000019884624838656.000
2;11;-1000000000000000019884624838656.000
2;12;-1000000000000000019884624838656.000
2;13;-1000000000000000019884624838656.000
2;14;-1000000000000000019884624838656.000
2;15;-1000000000000000019884624838656.000
3;0;1.851
3;1;3.851
3;2;0.149
3;3;2.149
3;4;-0.149
3;5;1.851
3;6;-1.851
3;7;0.149
3;8;-0.149
3;9;1.851
3;10;-1.851
3;11;0.149
3;12;-2.149
3;13;-0.149
3;14;-3.851
3;15;-1.851
4;0;2.851
4;1;0.851
4;2;4.851
4;3;2.851
4;4;1.149
4;5;-0.851
4;6;3.149
4;7;1.149
4;8;0.851
4;9;-1.149
4;10;2.851
4;11;0.851
4;12;-0.851
4;13;-2.851
4;14;1.149
4;15;-0.851
5;0;1.851
5;1;3.851
5;2;-0.149
5;3;1.851
5;4;3.851
5;5;5.851
5;6;1.851
5;7;3.851
5;8;0.149
5;9;2.149
5;10;-1.851
5;11;0.149
5;12;2.149
5;13;4.149
5;14;0.149
5;15;2.149
6;0;2.851
6;1;0.851
6;2;4.851
6;3;2.851
6;4;0.851
6;5;-1.149
6;6;2.851
6;7;0.851
6;8;4.851
6;9;2.851
6;10;6.851
6;11;4.851
6;12;2.851
6;13;0.851
6;14;4.851
6;15;2.851
7;0;3.851
7;1;5.851
7;2;1.851
7;3;3.851
7;4;5.851
7;5;7.851
7;6;3.851
7;7;5.851
7;8;1.851
7;9;3.851
7;10;-0.149
7;11;1.851
7;12;3.851
7;13;5.851
7;14;1.851
7;15;3.851
144;0;138.750
144;1;136.750
144;2;136.750
144;3;134.750
144;4;136.750
144;5;134.750
144;6;134.750
144;7;132.750
144;8;136.750
144;9;134.750
144;10;134.750
144;11;132.750
144;12;134.750
144;13;132.750
144;14;132.750
144;15;130.750
145;0;139.750
145;1;137.750
145;2;137.750
145;3;135.750
145;4;137.750
145;5;135.750
145;6;135.750
145;7;133.750
145;8;137.750
145;9;135.750
145;10;135.750
145;11;133.750
145;12;135.750
145;13;133.750
145;14;133.750
145;15;131.750
146;0;140.750
146;1;138.750
146;2;138.750
146;3;136.750
146;4;138.750
146;5;136.750
146;6;136.750
146;7;134.750
146;8;138.750
146;9;136.750
146;10;136.750
146;11;134.750
146;12;136.750
146;13;134.750
146;14;134.750
146;15;132.750
147;0;141.712
147;1;139.787
147;2;139.712
147;3;137.787
147;4;139.712
147;5;137.787
147;6;137.712
147;7;135.787
147;8;139.712
147;9;137.787
147;10;137.712
147;11;135.787
147;12;137.712
147;13;135.787
147;14;135.712
147;15;133.787
