x_value,axis_metric,class1_BER,class1_FER,class2_BfER,class2_FER,full_BER,full_FER,uncoded_BER,average_channel_power,applied_signal_power_dbm,measured_signal_power_dbm,noise_power_dbm,noise_variance_per_sample,snr_db,ebn0_db,carrier_to_noise_db,symbol_rate_hz,bit_rate_hz,outage_rate
-118,ebn0_db,0.3649027134784256,1.0,0.21268212047822244,1.0,0.3192365355783647,1.0,0.19160749295681828,1.0,-118.0,-118.0,-106.62485094253906,2.1752786921070493e-14,-11.375149057460925,-2.9146341972451295,-11.37514905746093,271002.71002710034,154519.0890505396,0.0
-117,ebn0_db,0.31255251495131553,1.0,0.187137200630454,1.0,0.2749279206550571,1.0,0.1652635220851113,1.0,-117.0,-117.0,-106.62485094253906,2.1752786921070493e-14,-10.375149057460908,-1.914634197245115,-10.37514905746093,271002.71002710034,154519.0890505396,0.0
-116,ebn0_db,0.24674201360858034,1.0,0.15448045208165148,1.0,0.21906354515050167,1.0,0.13823582714137436,1.0,-116.0,-116.0,-106.62485094253906,2.1752786921070493e-14,-9.375149057460913,-0.9146341972451194,-9.37514905746093,271002.71002710034,154519.0890505396,0.0
-115,ebn0_db,0.1593242333152647,0.9910313901345291,0.12718945230155992,1.0,0.14968379901115328,1.0,0.11235401369930519,1.0,-115.0,-115.0,-106.62485094253907,2.175278692107049e-14,-8.375149057460916,0.085365802754879,-8.37514905746093,271002.71002710034,154519.0890505396,0.0
-114,ebn0_db,0.0794812800669316,0.9297218155197657,0.10192589255546795,0.9985358711566618,0.0862146638134925,1.0,0.08844303573439738,1.0,-114.0,-114.0,-106.62485094253907,2.175278692107049e-14,-7.375149057460916,1.0853658027548754,-7.37514905746093,271002.7100271003,154519.0890505396,0.0
-113,ebn0_db,0.0279951224469058,0.6420079260237781,0.0780408495071639,1.0,0.04300884056498323,1.0,0.06507033257363508,1.0,-113.0,-113.0,-106.62485094253907,2.1752786921070493e-14,-6.375149057460919,2.085365802754873,-6.3751490574609315,271002.71002710034,154519.0890505396,0.0
-112,ebn0_db,0.007846647734288184,0.2808988764044944,0.05548833189282627,0.9831460674157303,0.02213915298184961,0.9831460674157303,0.04689467835535251,1.0,-112.0,-112.0,-106.62485094253907,2.175278692107049e-14,-5.3751490574609075,3.0853658027548856,-5.375149057460931,271002.7100271004,154519.0890505396,0.0
-111,ebn0_db,0.0012802197802197803,0.066,0.03511538461538462,0.951,0.01143076923076923,0.952,0.029631868131868133,1.0,-111.0,-111.0,-106.62485094253908,2.175278692107049e-14,-4.37514905746091,4.085365802754881,-4.375149057460931,271002.71002710046,154519.08905053962,0.0
-110,ebn0_db,8.241758241758242e-05,0.005,0.021397435897435896,0.801,0.006476923076923077,0.802,0.01731868131868132,1.0,-110.0,-110.0,-106.62485094253908,2.175278692107049e-14,-3.375149057460916,5.085365802754879,-3.3751490574609306,271002.71002710046,154519.08905053962,0.0
-109,ebn0_db,,,0.010756410256410257,0.582,0.003226923076923077,0.582,0.009928571428571429,1.0,-109.0,-109.0,-106.62485094253908,2.175278692107049e-14,-2.3751490574609186,6.0853658027548745,-2.3751490574609306,271002.71002710046,154519.08905053962,0.0
-108,ebn0_db,,,0.00541025641025641,0.355,0.001623076923076923,0.355,0.0042912087912087915,1.0,-108.0,-108.0,-106.62485094253908,2.175278692107049e-14,-1.375149057460921,7.08536580275487,-1.3751490574609306,271002.71002710046,154519.08905053962,0.0
-107,ebn0_db,,,0.002064102564102564,0.148,0.0006192307692307693,0.148,0.0018186813186813187,1.0,-107.0,-107.0,-106.62485094253908,2.175278692107049e-14,-0.37514905746090665,8.08536580275489,-0.37514905746093063,271002.71002710046,154519.08905053962,0.0
-106,ebn0_db,,,0.0005512820512820512,0.039,0.0001653846153846154,0.039,0.0005824175824175824,1.0,-106.0,-106.0,-106.62485094253908,2.175278692107049e-14,0.6248509425390874,9.08536580275488,0.6248509425390694,271002.71002710046,154519.08905053962,0.0
-105,ebn0_db,,,0.00015384615384615385,0.012,4.615384615384615e-05,0.012,0.00014835164835164835,1.0,-105.0,-105.0,-106.62485094253908,2.175278692107049e-14,1.6248509425390862,10.08536580275488,1.6248509425390694,271002.71002710046,154519.08905053962,0.0
-104,ebn0_db,,,1.282051282051282e-05,0.001,3.846153846153846e-06,0.001,2.1978021978021977e-05,1.0,-104.0,-104.0,-106.62485094253908,2.175278692107049e-14,2.624850942539083,11.085365802754874,2.6248509425390694,271002.71002710046,154519.08905053962,0.0
